C00,C01,C02,C10,C11,C12,C20,C21,C22
#232126,#1004C0,#1D1E22,#1DE719,#B8011D,#1CE817,#1C171D,#19E218,#C3C7D0
#1C201F,#1004BC,#1E1F21,#25EA20,#B8001C,#18E40F,#211D1E,#29EE22,#C5C9CC
#1B1D1C,#130CBC,#1F2024,#1AD919,#B50A1D,#1BC907,#201F1B,#15D512,#A9A7A8
#1B1D1C,#120AB5,#242426,#27E724,#B3031A,#20D111,#1F1E1C,#18D813,#B4B4B4
#1A1F1B,#140BBE,#1E201F,#23EA1B,#B6001B,#1FCD13,#161D16,#25EA21,#8F8E93
#1C1D21,#0E05B8,#B7BAC1,#19E10F,#BD0924,#39F735,#1D1E20,#22EA28,#B9BCC3
#1D1E20,#0D04B5,#B1B1B3,#20E01B,#B91025,#6CAF60,#221E1D,#17D714,#929395
#1C1E1D,#100AB4,#1F1F21,#15D812,#A80C19,#37D216,#1F1E1C,#18D614,#A7B0AF
#1E1E20,#100AB6,#212226,#20E21F,#B0091A,#49E732,#21211F,#0CCE0D,#A6AAAB
#1D1B20,#110ABA,#1C2021,#21E41E,#B91122,#22C81E,#211B1D,#28DE1A,#9799A8
#1E1E20,#0E07B5,#202123,#20E221,#B50E1F,#3AE831,#1C1D18,#1DD80F,#808485
#1E1D22,#100BB0,#18181A,#14D711,#BD1627,#08A300,#23191A,#0BC301,#A4AEAF
#1C1B20,#130DB5,#1C2021,#25E724,#B10C1C,#23C809,#221B23,#26E324,#909696
#1C1E1D,#120CB4,#1E1F21,#23E522,#B60B1D,#3DD721,#221E1F,#2BE426,#CCD2D0
#181A19,#140EB8,#1E1E20,#24E721,#B61121,#2ADF2E,#222025,#26E825,#929B98
#1E1E1E,#0F09B3,#1E1E20,#2BEA2A,#B71222,#3AC921,#201E21,#27E020,#BDBDC7
#1D1C21,#0F07B2,#1D1E20,#10D211,#B20A1B,#19C324,#1D1A23,#2DE620,#989D99
#161F1C,#0D07AF,#1E1E20,#31F52F,#B91224,#2CDD1B,#1E1B24,#21E219,#A19D9E
#181617,#140CBA,#1E1E1E,#2BEE26,#B80B1F,#3BEB3E,#1E1E1E,#27E426,#A7ACB0
#1E1D22,#150DB8,#1D1F1E,#10D30B,#B30C1E,#26D725,#202221,#06C100,#A4A8AB
#1C1D1F,#0D06B4,#222325,#2AED27,#B80B1F,#35DC37,#1F1F1F,#10CC15,#A5AAAD
#1D1F1E,#0E06B1,#1D1D1D,#23E524,#AF0C1D,#1BC00A,#191B1A,#25DB24,#A8A9AB
#1C1D1F,#110BB5,#1F1D22,#28E728,#B71022,#2ADD10,#1C2222,#00BE07,#959FA1
#1C1E1D,#1711B9,#1D1E20,#1DDD1A,#AA0919,#35DE3B,#191E18,#0EB908,#A6A7AB
