color_top,color_right,color_bottom,color_left
#140EB0,#08D202,#BFC0C2,#23E91A
#1710B6,#14DE10,#A0A4A7,#1DE115
#0E07AF,#31F829,#39FA2F,#2EF327
#0C05AB,#0FDB0A,#A8ACAD,#17DB0D
#0801A9,#23ED1B,#B8C3BB,#2AF220
#1008B6,#1CE813,#0BCC00,#24EA1B
#1008B6,#1BEC15,#20E416,#1BE311
#1008B6,#14E50E,#2AEE1E,#06CC00
#0F06B7,#3BFF34,#2EF423,#0ED506
#1108BB,#14E00F,#2FF524,#35FC2D
#1007BA,#00C700,#1DE312,#32FA28
#1007BC,#00CE00,#19DF10,#2FF725
#1007BC,#02D300,#1CE712,#1FEE18
#1006BD,#1CEF14,#24EF1A,#1CE912
#1007BC,#16E910,#11DB09,#1EEB14
#1006BD,#12E30C,#1CE712,#18E40F
#1107C0,#17EA11,#1DE813,#1FEC15
#1107C0,#1DF015,#21EC17,#21EE17
#1006BF,#2AFD24,#19E40F,#2AF621
#1005C1,#1DF015,#1CE813,#19EB10
#1005C3,#29FC23,#1CE912,#20F11A
#1106C2,#00D100,#1DE715,#00BD00
#1005C1,#00CB00,#14E00D,#00C100
#1308C4,#10E60A,#21ED18,#19EA12
#0F04C0,#34FF2E,#17E30E,#00B200
#1106C2,#00CA00,#22EE19,#48FF41
#1005C1,#2DFF27,#20EC17,#0DDE06
#0E03C1,#27FA1F,#20EC17,#23F61D
#1207C5,#3AFF31,#12DE09,#33FF2D
#0F04C2,#2FFF29,#20EC17,#1EEF18
#0E03C1,#00CA00,#18E40F,#00C500
#1207C5,#00C400,#1BEC15,#00B200
#1005C3,#09DA03,#14E50E,#3EFF37
#1105C7,#0DDE07,#23EF1A,#00D000
#1106C4,#00C700,#20EC17,#14E50E
#1005C3,#3FFF36,#14E10A,#42FF3E
#1005C3,#02D300,#1EEA15,#47FF43
#1004C6,#4AFF40,#17E810,#33FF2C
#1004C6,#39FF30,#18E50E,#46FF42
#1105C7,#3FFF39,#17E810,#00BD00
#0F03C5,#2AF623,#1AE611,#43FF3F
#1105C7,#00C700,#22F31B,#31FF2D
#1105C7,#42FF3B,#16E70F,#01D200
#1105C7,#35FF2E,#24F11A,#27F725
#1105C7,#41FF37,#10E10A,#3AFF35
#1105C7,#42FF39,#20ED16,#00C100
#1004C6,#2CF823,#23F019,#0BDE06
#1105C7,#26F921,#1CE813,#43FF40
#1105C7,#00C200,#1EEF17,#1DF018
#1105C7,#25F81D,#20EC17,#06DC02
#1105C7,#23F41C,#20ED16,#06D702
#1105C7,#00BC00,#12DE09,#35FF31
#1105C7,#00C500,#2BF821,#47FF43
#1004C6,#00CA00,#22F31B,#07DC04
#1105C7,#41FF3A,#19EA12,#2AFF27
#1004C6,#00CD00,#1BEC14,#4AFF45
#1206C8,#42FF38,#19EA12,#00D200
#1004C6,#43FF39,#21F21A,#22F41F
#1004C6,#47FF40,#14E50D,#00D500
#1206C8,#26F920,#19EA12,#2DFF2A
#1206C8,#0CDD06,#23F41C,#00BD00
#1105C7,#00CE00,#1FF019,#40FF3C
#1105C7,#2BFC24,#12E30B,#00CD00
#1105C7,#00C700,#1EEB14,#09DA03
#1105C7,#24F71F,#25F11C,#33FF2F
#1105C7,#00D200,#18E912,#44FF40
#1105C7,#00C600,#1EEB14,#3BFF35
#1105C7,#35FF31,#17E90E,#00D000
#1105C7,#23F41D,#1CEE11,#48FF44
#1004C6,#0CDD05,#20F119,#06D702
#1004C6,#2AFF25,#12E30B,#34FF31
#1206C8,#1DF315,#15E20B,#1DF315
#1105C9,#1CF312,#21F21A,#1EF514
#1105C9,#1DF413,#1CEF14,#1EF514
#1105C9,#00C400,#1BEE15,#2AFF25
#1104CD,#15ED0E,#03D500,#1EF615
#1003CC,#1DF514,#1FF217,#1FF716
#AAB2B5,#AAAA9E,#A8AA9D,#BBBCBE
#1004CA,#1FF615,#20F817,#23FE1C
#1004CA,#1EF511,#1CF715,#1CF715
#1004CA,#1FF313,#1CF413,#1BF815
#1509CD,#35FF29,#03D600,#00B400
#1307C9,#1FF517,#17EE17,#3FFF4C
#0900C1,#40FF36,#11E70D,#45FF47
#1004CA,#1BF20E,#19F00F,#24FF1D
#1105CB,#21F515,#1DF514,#1CF714
#1004CA,#21F514,#1DF514,#1CFA13
#0E02C8,#2CFF1F,#22FA19,#23FF21
#1105CB,#13EB0A,#2AFF25,#0CE707
#1206CA,#12E80A,#30FF2C,#1EF31B
#1206CA,#21F814,#18EE12,#2FFF2B
#1309CA,#21F419,#45FF4B,#00CF00
#0E04C5,#3FFF39,#52FF51,#00C100
#1309CA,#05D800,#00BE00,#06DB07
#150CC9,#00C300,#35FF33,#3BFF43
#1007C2,#2FFF28,#00B400,#41FF42
#0D04C1,#00CC00,#4BFF4E,#00CC00
#0E05C2,#13E40C,#47FF48,#00AE00
#0C03BE,#00C600,#2EFF32,#00BC00
#0D04BF,#00B400,#00CB00,#00BA00
#150CC7,#41FF3C,#3DFF41,#41FF44
#0C03BE,#41FF3C,#4EFF4E,#02D105
#1108C3,#1FF019,#00B800,#10E114
#1108C3,#20F11A,#2DFD2D,#3BFF3F
#140BC6,#1CED15,#17E918,#5CFF5B
#1007C2,#37FF31,#4AFF4A,#00C000
#1209C4,#18E50E,#00CA00,#3EFF38
#1005C1,#0BDC05,#08D806,#00B800
#0F06C1,#31FF2B,#08D808,#00B100
#0F05BE,#0FE20A,#06D606,#00C200
#0D05BD,#39FF33,#00AF00,#09DB0A
#130AC5,#00C900,#21F121,#36FF3A
#130AC5,#41FF38,#00C600,#00C000
#0E05C0,#1DE914,#00C000,#00CB00
#1207C3,#49FF40,#38FF38,#49FF4E
#0C01BD,#3EFF37,#2DFD2F,#1CEA23
#150AC6,#20EF19,#3BFF3B,#2FFF29
#0C01BD,#00BD00,#00CD00,#00AB00
#1409C5,#10E30B,#41FF45,#00B600
#130AC5,#00BE00,#27F62A,#00B300
#0900BB,#00C000,#1BE81D,#2BFD2C
#0F06C1,#0FE009,#00C100,#3AFF3D
#0F06C1,#00C300,#4CFF4F,#00C400
#0F06C1,#00BD00,#00BE00,#00D003
#0F04C0,#00C600,#27F727,#00C800
#0E05C0,#3AFF34,#3CFF40,#10E114
