C00,C01,C02,C10,C11,C12,C20,C21,C22
#1002C9,#12EE08,#C2001B,#1AF215,#C3001A,#1103CA,#C3001B,#1002C9,#15EE0E
#C3001E,#00C200,#1002C7,#1103C8,#C90422,#1CF715,#10E50D,#1003C5,#C3001E
#C4001D,#17F30D,#1002C9,#1002C7,#C5001F,#1DF913,#1AF211,#1002C7,#C2001D
#C5001E,#1002C9,#1BF713,#19F710,#C7001D,#1002C9,#1002C9,#23FF19,#C3001D
#00CB00,#0F03C6,#C2001D,#1002C7,#C3011E,#0CE80A,#C4001E,#18F313,#1004C8
#C1001D,#1002C7,#1FF61D,#0DE808,#C7021E,#1004C8,#1004C8,#12ED0C,#C00019
#1DF514,#1002C7,#C2001D,#1002C9,#C4001D,#16F10F,#C3001E,#1BF614,#1103CA
#1004C8,#1CF51B,#C3001E,#21F81F,#CB0624,#1002C7,#C5001E,#1205C7,#3AFF3A
#C2001E,#1103C8,#17ED16,#1EF81C,#C50020,#0F02C4,#1204C9,#37FF3B,#C1001E
#BA0018,#10E70E,#1004C6,#0F02C4,#C50220,#1BF518,#17EE15,#1003C5,#C1001D
#00CF00,#1003C5,#C40524,#1104C6,#C50723,#13E812,#C2001D,#1AF11A,#1004C6
#1EF619,#1003C4,#C10622,#1003C2,#BD0019,#26FB25,#BC001A,#15EE17,#1003C2
#2CFF29,#1003C2,#C0021E,#1003C3,#C30421,#13E715,#BC0018,#1AF31C,#1003C2
#19F017,#0F02C1,#B70016,#1003C2,#C30420,#00D000,#CE0B29,#2AFF28,#1105C2
#C0001C,#00D400,#1104C6,#0F02C1,#C5021E,#1DF91F,#1DF115,#1003C5,#C1001C
#BE001C,#00D000,#1104C5,#0F02C4,#C5001E,#23FD22,#1DF319,#1003C5,#C2011F
#1306C6,#32FF32,#BE001E,#00C800,#CB0825,#1306C5,#C1031F,#0E01C0,#28FF26
#C0001A,#1CF413,#1003C5,#1003C5,#C6011F,#1AF714,#1AF211,#1002C7,#C30020
#C5001F,#1002C9,#1BF614,#1CFA13,#C7001F,#1002C9,#1002C7,#1CFA13,#C5001E
#C4001D,#1DF816,#1002C7,#1002C9,#C5001D,#1BF815,#1AF513,#1002C9,#C5001D
#C30220,#16EF1B,#1004C6,#1002C7,#C4001B,#19F519,#23FE21,#1002C9,#C3001E
#C2021E,#18F023,#0F03C5,#1102C8,#C8011E,#19F31B,#17EE14,#1002C7,#C50020
#C70220,#1104C6,#15EB12,#1CF319,#C70120,#1204C4,#1106C4,#19E91D,#C0011E
#C3001B,#1104C6,#2CFF28,#1DF81D,#C4001D,#1002C5,#1004C6,#17ED19,#C0001B
#C3001C,#1002C7,#1FF71A,#21FB1D,#C5001D,#1002C7,#1003C5,#1DF71A,#BF001B
#C60023,#0D00C2,#0FE40E,#13EC19,#C60021,#1205C6,#1003C2,#17E924,#C2001E
#0F03BF,#11E70D,#C50020,#0EE11A,#C60020,#1205C7,#BE001E,#1003C2,#18EA17
#C0021E,#1EF129,#1104C3,#1003C3,#C5001F,#1BF022,#14E915,#1003C2,#C1001E
#BE001E,#0EE41B,#1104C3,#1003C2,#C70021,#1AF118,#14E911,#0F03C4,#C0001E
#C2001D,#2FFF2A,#1003C5,#1003C5,#C20019,#1CF717,#06DE01,#1102C4,#C2001D
#BF001C,#1AF417,#1104C6,#1003C5,#C4001E,#20FA1D,#1CF417,#1002C7,#C5001E
#BC001B,#11E41D,#1205C4,#1205C4,#C6021F,#17ED1B,#08DA05,#0D01BF,#C2001B
#1003C5,#1BF51B,#BF0018,#1AF117,#C4001B,#1003C5,#C0021E,#1003C5,#1FF61C
#C0001B,#1205C7,#20F51F,#20FA20,#C4001D,#0F02C1,#0E03C1,#21F526,#BD001D
#BE001C,#07DB0E,#1105C1,#1004C0,#C50222,#0CE10D,#1CF11B,#1003C2,#C0021E
#C0001B,#1003C2,#1AEF19,#23F925,#C30020,#1104C1,#1206C2,#10E416,#C0031F
#C1001E,#22F628,#1105C0,#0E02C2,#BF001F,#1AF019,#0EE60F,#1204C3,#C1001D
#CA0727,#1004C0,#0DE40D,#0ADF09,#CB0625,#1005C1,#1105C1,#0DDE17,#BF021E
#BE001B,#0E01C0,#1DF117,#18EF15,#BB0015,#0E05C1,#1408C4,#21F42B,#BD011B
#1105C1,#26FF28,#BF001C,#10E517,#C2001B,#0F02C1,#BF001C,#1003C2,#00CC00
#BD001C,#00CA00,#1003C2,#1104C4,#C2001B,#02DB06,#1EF51C,#1104C6,#C1001B
#1005C3,#23F924,#BF001A,#03D80A,#C1001C,#1003C2,#C70A26,#1003C2,#26FB23
#BB001B,#10E616,#1205C4,#1003C3,#C30521,#0CE609,#0AE006,#0E01C3,#BE0019
#BE001D,#16E91E,#1104C3,#1003C2,#C1001A,#14EB1C,#10E50F,#1205C4,#C00019
#C1021E,#12E51A,#1306C3,#1003C2,#C4001D,#16EE1A,#13E90D,#1003C5,#BE001B
#C2001D,#1003C5,#27FD21,#18EF16,#C4001C,#0F02C4,#1104C3,#09DD0F,#B40014
#BF001A,#1003C5,#0FE50A,#19F319,#C1001C,#1104C6,#1205C4,#07DB0A,#BE001C
#2CFF28,#1003C3,#BD001C,#1003C5,#C5001E,#19F018,#BE001C,#1BF51B,#1205C4
#C2001C,#1002C7,#05E403,#1AF41B,#C6001E,#0F03C6,#1104C6,#15EE17,#C00019
#BF001C,#1103C8,#1CF319,#2BFF21,#C80722,#1003C5,#1104C6,#0BE111,#B60013
#C2001C,#1206C3,#10E50D,#17F00C,#C3001E,#0F03C5,#1104C6,#10E616,#C20420
#C2001D,#1003C5,#2BFF28,#18F11C,#BE0017,#1104C5,#1003C5,#00D000,#BF001F
#C30521,#17EC1E,#1003C5,#1103C5,#C1001E,#19F11E,#25F722,#1003C5,#BA0015
#CC0323,#1104CE,#00DC00,#18F51C,#CC0323,#1104CB,#1204CD,#04DF0C,#C90020
#CC021F,#1002D1,#14F60E,#1BFF1B,#CD001E,#0F03D0,#1003D0,#12F40D,#CB011F
#CB001E,#1002D1,#23FF20,#16F928,#CD0220,#1104D0,#1305D2,#10F418,#CE0623
#CA001C,#1001D6,#0DF404,#1AFF13,#D10220,#1001D6,#1001D6,#1BFF12,#CE0220
#0E00D1,#15FA1B,#CC001E,#17FC1B,#C7001B,#1305D6,#CA0021,#1103D2,#19FF19
#CD001F,#1002D5,#1CFF1B,#1BFE26,#CB0021,#1003D4,#1204D3,#11F615,#D8082E
#CC001E,#1002D6,#1FFF1B,#14F60E,#CB001D,#0F03D2,#1103D0,#18FA1E,#CB0020
#CD001F,#1103D3,#1EFF1C,#17F815,#CE0120,#1103D4,#1204D3,#12F315,#C90522
#D00425,#1BFF1F,#0F01D0,#1103D4,#D00526,#1AF81A,#19FE1B,#1001D6,#CD0020
#D00022,#1001D6,#1DFF12,#1DFF16,#D00022,#1001D6,#1001D6,#1FFF16,#CF001F
#CF0021,#1102D7,#1DFF14,#1BFF12,#D0011F,#1001D6,#1001D6,#1DFF14,#CE0120
#1103D3,#20FF1D,#CE0120,#17FE11,#CF0220,#1001D6,#CA021F,#1001D6,#1DFF13
#1001D6,#1DFF16,#CE0120,#1FFF16,#D10220,#1001D6,#CB001E,#1001D6,#1DFF11
#CF0021,#1CFF13,#1001D8,#1001D8,#D10022,#1CFF13,#1EFF12,#1001D6,#CF0021
#D0001E,#1DFF14,#1001D6,#1102D9,#D30222,#1EFF18,#1BFF12,#1001D8,#D00222
#CF0221,#1202D9,#224DCE,#2DD841,#1BFA13,#CA0322,#D0D5D8,#D2D7DA,#D0D1D5
#CB0721,#14F10E,#1001D2,#1002D6,#D20224,#1FF91F,#1EFD14,#1001D6,#CD0122
#CD0220,#1001D6,#1CFF14,#24FF26,#D9072A,#1003D5,#1204D3,#1DFA17,#CD0727
#CB0320,#1DFC18,#1003CD,#1003D1,#CC0322,#15EC13,#1CFD16,#1002D1,#C90521
#C6001C,#1DF818,#1104D0,#1003CF,#C8001C,#18EF1A,#1DF913,#1002D1,#C8001E
#C7001C,#20FA1C,#1003CD,#1003CF,#CB031E,#1EF41D,#1CF816,#1002D1,#C6041F
#CC031C,#1DF518,#1002CD,#1003CF,#C9021E,#23FA1F,#19F613,#1003CF,#C6041F
#C7011D,#1102CF,#1CF415,#24F921,#C7001D,#1003CC,#1103CC,#1FF71A,#C4011C
#CB0226,#2AFF26,#1003CD,#1003CD,#C6001B,#19EE18,#1BF614,#1003CF,#C6011F
#C1021D,#1BF314,#1003CC,#0F02CC,#C7001D,#1FF41E,#1CF615,#1003CF,#C6021E
#C1021B,#1EF81B,#1003CD,#1003CD,#CB031F,#18F115,#1DF913,#1003CF,#C7021E
#1003CD,#1AF218,#C4001B,#1CF619,#C7021C,#1003CF,#C60320,#1003CD,#1BF612
#C7011D,#1003CF,#1CF715,#1DF21C,#C9001E,#1003CD,#1003CD,#1CF417,#C6001E
#C6031E,#20F81C,#1002CD,#1003CD,#CB021F,#1CF119,#1AF513,#1003CD,#C5031E
#1003CF,#19F414,#C8031E,#1AF513,#C9011E,#1102CF,#C6001B,#1003CF,#1CF715
#C3051E,#1BF414,#1003CD,#1003CD,#C8021D,#28FD26,#1BF614,#1003CF,#C3011B
#1BF912,#1002D1,#C9021E,#1002D1,#C9011E,#1FFC19,#C9011E,#1AF515,#1003CF
